comuna;candidato;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;orden;mesas_porcentaje;partido;sector
LO PRADO;Eduardo Antonio Artés Brichetti;82;0,00715345023117857;11463;35;210;6;0,1666666666666667;Ninguno;Ninguno
LO PRADO;Evelyn Matthei Fornet;1384;0,12073628195062375;11463;35;210;7;0,1666666666666667;Ninguno;Ninguno
LO PRADO;Harold Mayne-Nicholls Secul;144;0,01256215650353311;11463;35;210;8;0,1666666666666667;Ninguno;Ninguno
LO PRADO;Nulo/Blanco;498;0,04344412457471866;11463;35;210;99;0,1666666666666667;Ninguno;Ninguno
MACUL;Franco Parisi Fernández;2911;0,10344705046197583;28140;85;262;1;0,3244274809160305;Ninguno;Ninguno
MACUL;Jeannette Jara Román;9503;0,33770433546552947;28140;85;262;2;0,3244274809160305;Ninguno;Ninguno
MACUL;Marco Antonio Enríquez-Ominami Gumucio;337;0,01197583511016347;28140;85;262;3;0,3244274809160305;Ninguno;Ninguno
MACUL;Johannes Kaiser Barents-Von Hohenhagen;3424;0,12167732764747691;28140;85;262;4;0,3244274809160305;Ninguno;Ninguno
MACUL;José Antonio Kast Rist;5028;0,17867803837953092;28140;85;262;5;0,3244274809160305;Ninguno;Ninguno
MACUL;Eduardo Antonio Artés Brichetti;240;0,00852878464818763;28140;85;262;6;0,3244274809160305;Ninguno;Ninguno
MACUL;Evelyn Matthei Fornet;5268;0,18720682302771854;28140;85;262;7;0,3244274809160305;Ninguno;Ninguno
MACUL;Harold Mayne-Nicholls Secul;518;0,01840796019900498;28140;85;262;8;0,3244274809160305;Ninguno;Ninguno
MACUL;Nulo/Blanco;911;0,03237384506041222;28140;85;262;99;0,3244274809160305;Ninguno;Ninguno
MAIPU;Franco Parisi Fernández;14948;0,12892319634309371;115945;328;1021;1;0,3212536728697356;Ninguno;Ninguno
MAIPU;Jeannette Jara Román;41054;0,35408167665703566;115945;328;1021;2;0,3212536728697356;Ninguno;Ninguno
MAIPU;Marco Antonio Enríquez-Ominami Gumucio;1392;0,01200569235413343;115945;328;1021;3;0,3212536728697356;Ninguno;Ninguno
MAIPU;Johannes Kaiser Barents-Von Hohenhagen;15284;0,13182112208374661;115945;328;1021;4;0,3212536728697356;Ninguno;Ninguno
MAIPU;José Antonio Kast Rist;21936;0,18919315192548192;115945;328;1021;5;0,3212536728697356;Ninguno;Ninguno
MAIPU;Eduardo Antonio Artés Brichetti;1014;0,00874552589589892;115945;328;1021;6;0,3212536728697356;Ninguno;Ninguno
MAIPU;Evelyn Matthei Fornet;14666;0,12649100866790289;115945;328;1021;7;0,3212536728697356;Ninguno;Ninguno
MAIPU;Harold Mayne-Nicholls Secul;1917;0,01653370132390358;115945;328;1021;8;0,3212536728697356;Ninguno;Ninguno
MAIPU;Nulo/Blanco;3734;0,03220492474880331;115945;328;1021;99;0,3212536728697356;Ninguno;Ninguno
MARIA PINTO;Franco Parisi Fernández;513;0,17180174146014734;2986;8;34;1;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;Jeannette Jara Román;751;0,25150703281982584;2986;8;34;2;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;Marco Antonio Enríquez-Ominami Gumucio;30;0,01004688546550569;2986;8;34;3;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;Johannes Kaiser Barents-Von Hohenhagen;392;0,13127930341594105;2986;8;34;4;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;José Antonio Kast Rist;811;0,27160080375083723;2986;8;34;5;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;Eduardo Antonio Artés Brichetti;11;0,00368385800401875;2986;8;34;6;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;Evelyn Matthei Fornet;330;0,11051574012056263;2986;8;34;7;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;Harold Mayne-Nicholls Secul;30;0,01004688546550569;2986;8;34;8;0,2352941176470588;Ninguno;Ninguno
MARIA PINTO;Nulo/Blanco;118;0,03951774949765573;2986;8;34;99;0,2352941176470588;Ninguno;Ninguno
MELIPILLA;Franco Parisi Fernández;5565;0,18225584594222832;30534;89;274;1;0,3248175182481752;Ninguno;Ninguno
MELIPILLA;Jeannette Jara Román;7276;0,23829174035501408;30534;89;274;2;0,3248175182481752;Ninguno;Ninguno
MELIPILLA;Marco Antonio Enríquez-Ominami Gumucio;337;0,01103687692408463;30534;89;274;3;0,3248175182481752;Ninguno;Ninguno
MELIPILLA;Johannes Kaiser Barents-Von Hohenhagen;4341;0,14216938494792691;30534;89;274;4;0,3248175182481752;Ninguno;Ninguno
MELIPILLA;José Antonio Kast Rist;7773;0,25456867753979173;30534;89;274;5;0,3248175182481752;Ninguno;Ninguno
