comuna;candidato;partido;sector;lista;votos;porcentaje;total_votos;mesas_escrutadas;mesas_totales;mesas_porcentaje
SAN PEDRO;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;3623;0,4312068555105927;8402;25;25;1,000000000000000
SAN PEDRO;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;4222;0,5024994049035943;8402;25;25;1,000000000000000
SAN PEDRO;Nulo/Blanco;;Otros;NA;557;0,0662937395858129;8402;25;25;1,000000000000000
SAN RAMON;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;33234;0,5286902849143348;62861;193;195;0,989743589743590
SAN RAMON;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;23780;0,3782949682633111;62861;193;195;0,989743589743590
SAN RAMON;Nulo/Blanco;;Otros;NA;5847;0,0930147468223541;62861;193;195;0,989743589743590
SANTIAGO;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;114068;0,4769227553046932;239175;963;964;0,998962655601660
SANTIAGO;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;107195;0,4481864743388732;239175;963;964;0,998962655601660
SANTIAGO;Nulo/Blanco;;Otros;NA;17912;0,0748907703564336;239175;963;964;0,998962655601660
TALAGANTE;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;26007;0,4773065134802797;54487;156;157;0,993630573248408
TALAGANTE;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;23396;0,4293868262154275;54487;156;157;0,993630573248408
TALAGANTE;Nulo/Blanco;;Otros;NA;5084;0,0933066603042928;54487;156;157;0,993630573248408
TILTIL;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;4379;0,3131435926773455;13984;41;41;1,000000000000000
TILTIL;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;8325;0,5953232265446224;13984;41;41;1,000000000000000
TILTIL;Nulo/Blanco;;Otros;NA;1280;0,0915331807780320;13984;41;41;1,000000000000000
VITACURA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;15729;0,2386255025411515;65915;220;221;0,995475113122172
VITACURA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;47627;0,7225517712205113;65915;220;221;0,995475113122172
VITACURA;Nulo/Blanco;;Otros;NA;2559;0,0388227262383373;65915;220;221;0,995475113122172
ÑUÑOA;Claudio Orrego Larraín;IND;Centro;CANDIDATURAS INDEPENDIENTES;94332;0,5620955536222902;167822;529;537;0,985102420856611
ÑUÑOA;Francisco Orrego Gutiérrez;RN;Derecha;CHILE VAMOS;64687;0,3854500601828127;167822;529;537;0,985102420856611
ÑUÑOA;Nulo/Blanco;;Otros;NA;8803;0,0524543861948970;167822;529;537;0,985102420856611
